tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt3713030,movie,I Am Michael,I Am Michael,0,2015,\N,98,"Biography,Drama,Romance"
tt3794354,movie,Sonic the Hedgehog,Sonic the Hedgehog,0,2020,\N,99,"Action,Adventure,Comedy"
tt3960394,tvSeries,Interview with the Vampire,Interview with the Vampire,0,2022,\N,\N,"Drama,Fantasy,Horror"
tt4080768,movie,Summertime,La belle saison,0,2015,\N,105,"Drama,Romance"
tt4317898,movie,Big Eyes,Big Eyes,0,2014,\N,\N,Documentary
tt4353250,movie,The Last Black Man in San Francisco,The Last Black Man in San Francisco,0,2019,\N,121,Drama
tt4396558,movie,"Smile Again, Jenny Lee","Smile Again, Jenny Lee",0,2015,\N,110,"Drama,Mystery"
tt4552118,tvMovie,Looking,Looking,0,2016,\N,85,"Comedy,Drama"
tt4572984,movie,Pushing Dead,Pushing Dead,0,2016,\N,110,"Comedy,Drama"
tt4635282,tvSeries,The OA,The OA,0,2016,2019,60,"Drama,Fantasy,Mystery"
tt4687880,tvSeries,Goliath,Goliath,0,2016,2021,60,Drama
tt5095030,movie,Ant-Man and the Wasp,Ant-Man and the Wasp,0,2018,\N,118,"Action,Adventure,Comedy"
tt5292622,tvMiniSeries,When We Rise,When We Rise,0,2017,2017,85,Drama
tt5459382,movie,The Etruscan Smile,The Etruscan Smile,0,2018,\N,107,"Comedy,Drama"
tt5555260,tvSeries,This Is Us,This Is Us,0,2016,2022,45,"Comedy,Drama,Romance"
tt5620076,tvSeries,Chance,Chance,0,2016,2017,60,"Drama,Mystery,Thriller"
tt5706996,tvSeries,Girlboss,Girlboss,0,2017,2017,26,Comedy
tt6101624,tvMovie,Budding Prospects,Budding Prospects,0,2017,\N,30,Comedy
tt7087260,tvSeries,Tales of the City,Tales of the City,0,2019,2019,60,Drama
tt7097896,movie,Venom: Let There Be Carnage,Venom: Let There Be Carnage,0,2021,\N,97,"Action,Sci-Fi,Thriller"
tt7241800,movie,Bitter Melon,Bitter Melon,0,2018,\N,110,"Comedy,Crime,Drama"
tt7374948,movie,Always Be My Maybe,Always Be My Maybe,0,2019,\N,101,"Comedy,Romance"
tt8134186,tvMiniSeries,Devs,Devs,0,2020,2020,51,"Drama,Mystery,Sci-Fi"
tt8893498,tvSeries,A Taiwanese Tale of Two Cities,Shuang cheng gu shi,0,2018,\N,\N,Drama
tt9024096,movie,Women Is Losers,Women Is Losers,0,2021,\N,84,Drama
tt9218134,tvSeries,I's,I''s,0,2018,2019,\N,"Comedy,Drama,Romance"
tt9354944,movie,Jexi,Jexi,0,2019,\N,84,"Comedy,Romance,Sci-Fi"
tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,0,2021,\N,132,"Action,Adventure,Fantasy"
