unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state,geocode_relevance1,geocode_relevance2,verified,address_final,Coords,coordinates_final,lat_final,lon_final,verified2,coordinates_final2
1277,Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1339,Big Trouble in Little China,1986,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1367,"Yours, Mine and Ours",1968,,,Desilu Productions,United Artists,Melville Shavelson,"Bob Carroll, Jr.",Lucille Ball,Henry Fonda,Van Johnson,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1408,Thief of Hearts,1984,,,Paramount Pictures,Paramount Pictures,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,David Caruso,Barbara Williams,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1413,Tin Cup,1996,,,Regency Enterprises,Warner Bros. Pictures,Ron Shelton,John Norville,Kevin Costner,Rene Russo,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1416,Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1417,Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1439,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,,Craig Newmark,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1656,The Doors,1991,,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1739,Happy Gilmore,1996,,,Brillstein-Grey Entertainment,Universal Pictures,Dennis Dugan,Tim Herlihy,Adam Sandler,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1742,They Call Me MISTER Tibbs,1970,,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1784,Dying Young,1991,,,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,Joel Schumacher,Richard Friedenberg,Julia Roberts,Campbell Scott,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1787,Haiku Tunnel,2001,,,Hello Hooker Productions,Sony Pictures Classics,Jakob Kornbluth & Josh Kornbluth,Jakob Kornbluth & Josh Kornbluth,Josh Kornbluth,Warren Keith,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1795,48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1811,Rollerball,2002,,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1826,The Last of the Gladiators,1988,,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1913,Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1915,Serendipity,2001,,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein,John Cusack,Kate Beckinsale,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1926,James and the Giant Peach,1996,,,Skellington Productions,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick,Richard Dreyfuss,Jane Leeves,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1950,Night of Henna,2005,,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
2031,Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,99,23,3,37.808222,-122.415807,"Fisherman's Wharf, San Francisco, California, United States",37.808342,-122.41547,"Fisherman's Wharf, 2801 Leavenworth St, San Francisco, California 94133, United States",Fisherman's Wharf,San Francisco,California,1,1,Y,,,"37.808222, -122.415807",37.808222,-122.415807,Y,
2,Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,47,38,8,37.757651,-122.450525,"100 Saint Germain Avenue, San Francisco, California 94114, United States",37.975632,-122.09008,"100 Saint Germain Lane, Pleasant Hill, California 94523, United States",100 St. Germain Avenue,San Francisco,California,1,0.488889,Y,,,"37.757651, -122.450525",37.757651,-122.450525,Y,
3,Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,104,6,3,37.795373,-122.40634,"916 Grant Avenue, San Francisco, California 94108, United States",37.680321,-122.135214,"916 Grant Avenue, San Lorenzo, California 94580, United States",916 Grant Avenue,San Francisco,California,1,1,Y,,,"37.795373, -122.40634",37.795373,-122.40634,Y,
4,A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,99,23,3,37.808222,-122.415807,"Fisherman's Wharf, San Francisco, California, United States",37.808342,-122.41547,"Fisherman's Wharf, 2801 Leavenworth St, San Francisco, California 94133, United States",Fisherman's Wharf,San Francisco,California,1,1,Y,,,"37.808222, -122.415807",37.808222,-122.415807,Y,
7,I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,19,8,3,37.788789,-122.402692,"1 Post Street, San Francisco, California 94104, United States",37.937077,-122.534929,"1 Post Street, Larkspur, California 94939, United States",1 Post Street,San Francisco,California,1,1,Y,,,"37.788789, -122.402692",37.788789,-122.402692,Y,
8,When We Rise,2017,Bay Bridge,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,,37.822888,-122.313495,"Bay Bridge Bike/Pedestrian Path Oakland Trailhead, Maritime St, Oakland, California 94607, United States",37.824855,-122.313844,"Bay Bridge Toll Plaza, I-80, Oakland, California 94607, United States",Bay Bridge,San Francisco,California,1,1,Y,,,"37.822888, -122.313495",37.822888,-122.313495,Y,
9,Nash Bridges,2021,California Street at Davis,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,108,8,3,37.793513,-122.397627,"California Street and Davis Street, San Francisco, California 94111, United States",37.948071,-122.322136,"St. David of Wales Catholic Church, 5641 Esmond Ave, Richmond, California 94805, United States",California Street & Davis,San Francisco,California,1,0.96608,Y,,,"37.793513, -122.397627",37.793513,-122.397627,Y,
10,This Is Us,2022,Alamo Square Park,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,22,9,11,37.776252,-122.434603,"Alamo Square, Steiner St, San Francisco, California 94117, United States",37.76949,-122.509968,"Park Chalet Garden Restaurant, 1000 Great Hwy, San Francisco, California 94121, United States",Alamo Square Park,San Francisco,California,0.787037,0.702963,Y,,,"37.776252, -122.434603",37.776252,-122.434603,Y,
11,The Rock,1996,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,18,23,3,37.802449,-122.405836,"Coit Tower, 1 Telegraph Hill Blvd, San Francisco, California 94133, United States",37.786279,-122.408933,"Curran, 445 Geary St, San Francisco, California 94102, United States",Coit Tower,San Francisco,California,1,0.645,Y,,,"37.802449, -122.405836",37.802449,-122.405836,Y,
12,Blue Jasmine,2013,Pacific & Divisadero,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,102,30,6,37.77334,-122.437292,"Divisadero Touchless Car Wash, 444 Divisadero St, San Francisco, California 94117, United States",37.775935,-122.438368,"Divisadero Farmers' Market, 1300 Grove St., San Francisco, California 94117, United States",Pacific & Divisadero,San Francisco,California,0.5,0.5,Y,,"37.79251199367863, -122.44138406093005","37.79251199367863, -122.44138406093005",37.79251199367863,-122.4413841,Y,
13,The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,,,,37.818109,-122.480934,"Golden Gate Bridge, Golden Gate Brg S, Sausalito, California, United States",37.8078,-122.474653,"Golden Gate Bridge Welcome Center, Merchant Rd, San Francisco, California 94129, United States",Golden Gate Bridge,San Francisco,California,1,1,Y,,,"37.818109, -122.480934",37.818109,-122.480934,Y,
14,The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,54,26,9,37.76075,-122.403464,"700 Kansas Street, San Francisco, California 94107, United States",37.832036,-122.263865,"Kansai, 4345 Telegraph Ave, Oakland, California 94609, United States",700 Kansas St,San Francisco,California,1,0.714444,Y,,,"37.76075, -122.403464",37.76075,-122.403464,Y,
15,Venom,2018,Grant Ave btwn Clay and Jackson,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,104,6,3,37.794267,-122.406317,"Grant Avenue and Clay Street, San Francisco, California 94115, United States",37.88248,-122.040203,"Grant Avenue, Walnut Creek, California 94596, United States",Grant Ave and Clay,San Francisco,California,1,0.5,Y,,,"37.794267, -122.406317",37.794267,-122.406317,Y,
16,"Murder in the First, Season 1",2014,13 Lucky Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53,20,2,37.752229,-122.413389,"13 Lucky Street, San Francisco, California 94110, United States",37.730553,-122.393346,"13 Lucy Street, San Francisco, California 94124, United States",13 Lucky Street,San Francisco,California,1,0.966667,Y,,,"37.752229, -122.413389",37.752229,-122.413389,Y,
17,GirlBoss,2017,"The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,38,5,5,37.390702,-122.080639,"429 Castro Street, Mountain View, California 94041, United States",37.762018,-122.434711,"429 Castro Street, San Francisco, California 94114, United States",429 Castro St,San Francisco,California,1,1,Y,,,"37.390702, -122.080639",37.390702,-122.080639,N,"37.76196622657302, -122.43491889347214"
18,Sense8 - Season 2,2016,Clay between Stockton and Grant,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,104,6,3,37.792773,-122.407457,"Stockton Tunnel, Stockton St, San Francisco, California 94108, United States",37.798281,-122.408828,"Stockton Bargain Center, stockton, San Francisco, California 94133, United States",Clay and Stockton,San Francisco,California,0.425926,0.425926,Y,,"37.79398689069429, -122.40790414558585","37.79398689069429, -122.40790414558585",37.79398689069429,-122.4079041,Y,
19,The Pursuit of Happyness,2006,Glen Park Subway Station,,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,59,10,5,37.783825,-122.407072,"Papyrus, 865 Market St, San Francisco, California 94103, United States",37.78772,-122.40139,"Subway, 30 2nd St, San Francisco, California 94105, United States",Glen Park Subway Station,San Francisco,California,0.49,0.49,Y,,"37.73303635732849, -122.43360583072086","37.73303635732849, -122.43360583072086",37.73303635732849,-122.4336058,Y,
20,Women is Losers,2020,Capp St at 25th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2,37.750712,-122.417221,"Capp Street and 25th Street, San Francisco, California 94114, United States",37.796568,-122.422022,"Street, 2141 Polk St, San Francisco, California 94109, United States",Capp St & 25th St,San Francisco,California,1,0.66963,Y,,,"37.750712, -122.417221",37.750712,-122.417221,Y,
21,Birth of the Dragon,2016,Leavenworth at Green,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,107,32,3,37.794364,-122.416404,"Leavenworth Street, San Francisco, California 94109, United States",37.947563,-122.5254,"Greenbrae, California, United States",Leavenworth at Green,San Francisco,California,0.553571,0.425926,Y,,,"37.794364, -122.416404",37.794364,-122.416404,Y,
22,The OA Part II,2019,Waverly Pl btwn Washington and Clay St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,,,,37.795082,-122.40702,"Waverly Place and Washington Street, San Francisco, California 94115, United States",37.359433,-122.075967,"Waverly Place, Mountain View, California 94040, United States",Waverly Pl and Washington,San Francisco,California,1,0.555556,Y,,,"37.795082, -122.40702",37.795082,-122.40702,Y,
23,Chance- Season 1 ep107,2016,1958 Valencia St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,,,,37.746467,-122.420146,"1958 Valencia Street, San Francisco, California 94110, United States",37.579251,-122.316481,"Valencia, San Mateo, California 94401, United States",1958 Valencia St,San Francisco,California,1,0.742222,Y,,,"37.746467, -122.420146",37.746467,-122.420146,Y,
25,"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,,,,37.777537,-122.391131,"Berry Street and 3rd Street, San Francisco, California 94124, United States",37.78003,-122.3859,"Berry St, San Francisco, California 94107, United States",Berry Street and 3rd,San Francisco,California,1,0.5,Y,,,"37.777537, -122.391131",37.777537,-122.391131,Y,
26,Pushing Dead,2016,Church Street MUNI Station,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,52,5,5,37.386287,-122.078223,"Church Street, Mountain View, California 94041, United States",37.985699,-122.121689,"Church Street, Martinez, California 94553, United States",Church Street MUNI Station,San Francisco,California,0.5,0.5,Y,,,"37.386287, -122.078223",37.386287,-122.078223,N,"37.75468562356069, -122.42772857305353"
27,The Right Stuff,1983,Financial District,,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,108,6,3,37.793648,-122.39894,"Financial District, San Francisco, California, United States",37.788539,-122.396025,"Financial District South, San Francisco, California, United States",Financial District,San Francisco,California,1,1,Y,,,"37.793648, -122.39894",37.793648,-122.39894,Y,
28,Chance- Season 1 ep102,2016,John St. between Powell and Mason,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,16,6,3,37.796065,-122.410005,"John Street and Powell Street, San Francisco, California 94133, United States",,,,John St. and Powell,San Francisco,California,1,,Y,,,"37.796065, -122.410005",37.796065,-122.410005,Y,
29,Bullitt,1968,Mark Hopkins Hotel (999 California Street),The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,16,21,3,37.791513,-122.410317,"999 California Street, San Francisco, California 94108, United States",37.392348,-122.083038,"999 California Street, Mountain View, California 94041, United States",999 California Street,San Francisco,California,1,1,Y,,,"37.791513, -122.410317",37.791513,-122.410317,Y,
30,The Phone/Jexi,2019,1 Zoe St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,32,34,10,37.780472,-122.39661,"1 Zoe Street, San Francisco, California 94107, United States",37.799563,-122.271795,"One Zo, 362 8th St, Oakland, California 94607, United States",1 Zoe St,San Francisco,California,1,0.925556,Y,,,"37.780472, -122.39661",37.780472,-122.39661,Y,
31,Quitters,2015,Tonga Room,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,21,36,10,37.792403,-122.409791,"Tonga Room & Hurricane Bar, 950 Mason St, San Francisco, California 94108, United States",37.730201,-122.240128,"Tonga Lane, Alameda, California 94502, United States",Tonga Room,San Francisco,California,1,0.4,Y,,,"37.792403, -122.409791",37.792403,-122.409791,Y,
32,"Murder in the First, Season 2",2015,Potrero Hill Recreation Center (801 Arkansas Street),,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,54,26,9,37.75614,-122.396881,"801 Arkansas Street, San Francisco, California 94107, United States",37.793325,-122.205933,"Arkansas Street, Oakland, California 94602, United States",801 Arkansas Street,San Francisco,California,1,0.574074,Y,,,"37.75614, -122.396881",37.75614,-122.396881,Y,
33,Dr. Dolittle 2,2001,Hyde Street & Lombard Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,107,32,6,37.801995,-122.41963,"Hyde Street and Lombard Street, San Francisco, California 94123, United States",37.802031,-122.418955,"Lombard Street, Lombard St, San Francisco, California 94109, United States",Hyde Street & Lombard Street,San Francisco,California,1,0.5,Y,,,"37.801995, -122.41963",37.801995,-122.41963,Y,
34,Vertigo,1958,1007 Gough Street,Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,100,39,11,37.771952,-122.420522,"1007 Gough Street, San Francisco, California 94123, United States",37.779124,-122.423385,"Gough St Cleaners, 648 Gough St, San Francisco, California 94102, United States",1007 Gough Street,San Francisco,California,1,0.574074,Y,,,"37.771952, -122.420522",37.771952,-122.420522,Y,
35,"Murder in the First, Season 3",2016,Patricia's Green,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,22,9,11,37.776369,-122.424479,"Patricia's Green, 499 Octavia St, San Francisco, California 94102, United States",37.947563,-122.5254,"Greenbrae, California, United States",Patricia's Green,San Francisco,California,1,0.5,Y,,,"37.776369, -122.424479",37.776369,-122.424479,Y,
