nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm0000171,Ashley Judd,1968,\N,"Actress,  Producer,  Director","tt0150377,tt0470705,tt0119468,tt0244970","Double Jeopardy, Bug, Kiss the Girls, Someone Like You"
nm0000173,Nicole Kidman,1967,\N,"Actress,  Producer,  Music Department","tt0203009,tt0274558,tt0935075,tt0159365","Moulin Rouge!, The Hours, Rabbit Hole, Cold Mountain"
nm0000178,Diane Lane,1965,\N,"Actress,  Soundtrack,  Archive Footage","tt0250797,tt0328589,tt0086066,tt2096673","Unfaithful, Under the Tuscan Sun, The Outsiders, Inside Out"
nm0000182,Jennifer Lopez,1969,\N,"Music Artist,  Producer,  Actress","tt5503686,tt2126357,tt0120780,tt0252076","Hustlers, Second Act, Out of Sight, Maid in Manhattan"
nm0000190,Matthew McConaughey,1969,\N,"Actor,  Producer,  Director","tt0816692,tt0790636,tt1915581,tt1935179","Interstellar, Dallas Buyers Club, Magic Mike, Mud"
nm0000194,Julianne Moore,1960,\N,"Actress,  Producer,  Soundtrack","tt0297884,tt0118749,tt2172584,tt0842926","Far from Heaven, Boogie Nights, Maps to the Stars, The Kids Are All Right"
nm0000196,Mike Myers,1963,\N,"Actor,  Writer,  Producer","tt0295178,tt0145660,tt0118655,tt0811138","Austin Powers in Goldmember, Austin Powers: The Spy Who Shagged Me, Austin Powers: International Man of Mystery, The Love Guru"
nm0000198,Gary Oldman,1958,\N,"Actor,  Producer,  Director","tt1340800,tt0468569,tt4555426,tt0103874","Tinker Tailor Soldier Spy, The Dark Knight, Darkest Hour, Bram Stoker's Dracula"
nm0000202,Ryan Phillippe,1974,\N,"Actor,  Producer,  Director","tt0375679,tt0280707,tt0139134,tt0120577","Crash, Gosford Park, Cruel Intentions, 54"
nm0000206,Keanu Reeves,1964,\N,"Actor,  Producer,  Miscellaneous","tt0133093,tt0111257,tt0102685,tt0113481","The Matrix, Speed, Point Break, Johnny Mnemonic"
nm0000212,Meg Ryan,1961,\N,"Actress,  Producer,  Director","tt0098635,tt0128853,tt0108160,tt0120632","When Harry Met Sally..., You've Got Mail, Sleepless in Seattle, City of Angels"
nm0000216,Arnold Schwarzenegger,1947,\N,"Actor,  Producer,  Writer","tt0103064,tt0216216,tt0088247,tt0107362","Terminator 2: Judgment Day, The 6th Day, The Terminator, Last Action Hero"
nm0000225,Christian Slater,1969,\N,"Actor,  Producer,  Director","tt0124198,tt0108399,tt0102798,tt0115759","Very Bad Things, True Romance, Robin Hood: Prince of Thieves, Broken Arrow"
nm0000226,Will Smith,1968,\N,"Producer,  Actor,  Writer","tt0098800,tt0119654,tt0480249,tt0116629","The Fresh Prince of Bel-Air, Men in Black, I Am Legend, Independence Day"
nm0000227,Mira Sorvino,1967,\N,"Actress,  Producer,  Soundtrack","tt0113819,tt0364343,tt0120008,tt0120032","Mighty Aphrodite, The Final Cut, The Replacement Killers, Romy and Michele's High School Reunion"
nm0000232,Sharon Stone,1958,\N,"Actress,  Producer,  Miscellaneous","tt0103772,tt0112641,tt0114214,tt0108162","Basic Instinct, Casino, The Quick and the Dead, Sliver"
nm0000234,Charlize Theron,1975,\N,"Producer,  Actress,  Costume Designer","tt0340855,tt1735898,tt1392190,tt5610554","Monster, Snow White and the Huntsman, Mad Max: Fury Road, Tully"
nm0000237,John Travolta,1954,\N,"Actor,  Producer,  Music Department","tt0110912,tt0113161,tt0076666,tt0077631","Pulp Fiction, Get Shorty, Saturday Night Fever, Grease"
nm0000244,Sigourney Weaver,1949,\N,"Actress,  Producer,  Soundtrack","tt0118583,tt0499549,tt0078748,tt0095243","Alien Resurrection, Avatar, Alien, Gorillas in the Mist"
nm0000245,Robin Williams,1951,2014,"Actor,  Writer,  Producer","tt0107614,tt0093105,tt0265459,tt0077053","Mrs. Doubtfire, Good Morning, Vietnam, One Hour Photo, Mork & Mindy"
nm0000260,Joan Allen,1956,\N,"Actress,  Producer,  Soundtrack","tt3170832,tt0115988,tt0452608,tt0113987","Room, The Crucible, Death Race, Nixon"
nm0000267,Julie Andrews,1935,\N,"Actress,  Writer,  Producer","tt0059742,tt0058331,tt0084865,tt0247638","The Sound of Music, Mary Poppins, Victor/Victoria, The Princess Diaries"
nm0000273,Alan Arkin,1934,2023,"Actor,  Director,  Writer","tt1024648,tt0449059,tt0104348,tt0099487","Argo, Little Miss Sunshine, Glengarry Glen Ross, Edward Scissorhands"
nm0000274,David Arquette,1971,\N,"Producer,  Actor,  Director","tt0134084,tt0151738,tt0120082,tt0271367","Scream 3, Never Been Kissed, Scream 2, Eight Legged Freaks"
nm0000285,Alec Baldwin,1958,\N,"Actor,  Producer,  Music Department","tt0407887,tt1230414,tt0318374,tt0104348","The Departed, It's Complicated, The Cooler, Glengarry Glen Ross"
nm0000291,Angela Bassett,1958,\N,"Actress,  Producer,  Director","tt1825683,tt0114558,tt9114286,tt0118884","Black Panther, Strange Days, Black Panther: Wakanda Forever, Contact"
nm0000298,Candice Bergen,1946,\N,"Actress,  Producer,  Soundtrack","tt0212346,tt0901476,tt0256415,tt0094514","Miss Congeniality, Bride Wars, Sweet Home Alabama, Murphy Brown"
nm0000301,Thora Birch,1982,\N,"Actress,  Producer,  Director","tt0162346,tt0169547,tt0107120,tt0114011","Ghost World, American Beauty, Hocus Pocus, Now and Then"
nm0000302,Jacqueline Bisset,1944,\N,"Actress,  Producer,  Soundtrack","tt0062765,tt0071877,tt0088322,tt0061452","Bullitt, Murder on the Orient Express, Under the Volcano, Casino Royale"
nm0000313,Jeff Bridges,1949,\N,"Actor,  Producer,  Art Department","tt0118715,tt1263670,tt1403865,tt0088172","The Big Lebowski, Crazy Heart, True Grit, Starman"
nm0000316,Mel Brooks,1926,\N,"Actor,  Writer,  Producer","tt0094012,tt0395251,tt0082517,tt0071230","Spaceballs, The Producers, History of the World: Part I, Blazing Saddles"
nm0000321,Gabriel Byrne,1950,\N,"Actor,  Producer,  Writer","tt0114814,tt0146675,tt0100150,tt0145531","The Usual Suspects, End of Days, Miller's Crossing, Stigmata"
nm0000325,David Caruso,1956,\N,"Actor,  Producer,  Archive Footage","tt0083944,tt0228750,tt0261983,tt0099939","First Blood, Proof of Life, Session 9, King of New York"
nm0000328,Richard Chamberlain,1934,\N,"Actor,  Producer,  Soundtrack","tt0072308,tt0076299,tt0085101,tt0073012","The Towering Inferno, The Last Wave, The Thorn Birds, The Four Musketeers: Milady's Revenge"
nm0000331,Chevy Chase,1943,\N,"Actor,  Writer,  Producer","tt0104850,tt0085995,tt0080487,tt0092086","Memoirs of an Invisible Man, Vacation, Caddyshack, Three Amigos!"
nm0000335,Glenn Close,1947,\N,"Actress,  Producer,  Director","tt0093010,tt3750872,tt2015381,tt0094947","Fatal Attraction, The Wife, Guardians of the Galaxy, Dangerous Liaisons"
nm0000346,Macaulay Culkin,1980,\N,"Actor,  Producer,  Director","tt0099785,tt0102492,tt0107034,tt0104431","Home Alone, My Girl, The Good Son, Home Alone 2: Lost in New York"
nm0000354,Matt Damon,1970,\N,"Producer,  Actor,  Writer","tt0119217,tt3659388,tt0407887,tt0134119","Good Will Hunting, The Martian, The Departed, The Talented Mr. Ripley"
nm0000362,Danny DeVito,1944,\N,"Actor,  Producer,  Director","tt0117008,tt0098621,tt0103776,tt0091877","Matilda, The War of the Roses, Batman Returns, Ruthless People"
nm0000369,Matt Dillon,1964,\N,"Actor,  Director,  Producer","tt0375679,tt0129387,tt0097240,tt4003440","Crash, There's Something About Mary, Drugstore Cowboy, The House That Jack Built"
nm0000377,Richard Dreyfuss,1947,\N,"Actor,  Producer,  Writer","tt0076095,tt0075860,tt0073195,tt0113862","The Goodbye Girl, Close Encounters of the Third Kind, Jaws, Mr. Holland's Opus"
nm0000378,Minnie Driver,1970,\N,"Actress,  Producer,  Soundtrack","tt0112679,tt0496343,tt0119217,tt5592146","Circle of Friends, The Riches, Good Will Hunting, Speechless"
nm0000398,Sally Field,1946,\N,"Actress,  Producer,  Director","tt0443272,tt0109830,tt0098384,tt0076729","Lincoln, Forrest Gump, Steel Magnolias, Smokey and the Bandit"
nm0000400,Linda Fiorentino,1958,\N,"Actress,  Soundtrack,  Archive Footage","tt0110308,tt0119654,tt0120655,tt0088680","The Last Seduction, Men in Black, Dogma, After Hours"
nm0000404,Jane Fonda,1937,\N,"Actress,  Producer,  Miscellaneous","tt0067309,tt0062711,tt0076245,tt0077362","Klute, Barbarella, Julia, Coming Home"
nm0000409,Brendan Fraser,1968,\N,"Actor,  Producer,  Art Department","tt0120616,tt0375679,tt0209163,tt13833688","The Mummy, Crash, The Mummy Returns, The Whale"
nm0000412,Andy Garcia,1956,\N,"Actor,  Producer,  Director","tt0240772,tt0099674,tt0349903,tt0343996","Ocean's Eleven, The Godfather Part III, Ocean's Twelve, The Lost City"
nm0000415,Jami Gertz,1965,\N,"Actress,  Producer,  Executive","tt0117998,tt0093437,tt0320970,tt0088128","Twister, The Lost Boys, Still Standing, Sixteen Candles"
nm0000418,Danny Glover,1946,\N,"Actor,  Producer,  Director","tt0093409,tt0122151,tt0097733,tt1190080","Lethal Weapon, Lethal Weapon 4, Lethal Weapon 2, 2012"
nm0000424,Hugh Grant,1960,\N,"Actor,  Soundtrack,  Archive Footage","tt0314331,tt0276751,tt0109831,tt0125439","Love Actually, About a Boy, Four Weddings and a Funeral, Notting Hill"
nm0000429,Melanie Griffith,1957,\N,"Actress,  Producer,  Archive Footage","tt0096463,tt0099165,tt0091983,tt0086984","Working Girl, The Bonfire of the Vanities, Something Wild, Body Double"
nm0000432,Gene Hackman,1930,\N,"Actor,  Producer,  Stunts","tt0067116,tt0095647,tt0265666,tt0105695","The French Connection, Mississippi Burning, The Royal Tenenbaums, Unforgiven"
nm0000435,Daryl Hannah,1960,\N,"Actress,  Producer,  Director","tt0094291,tt0378194,tt0088161,tt0083658","Wall Street, Kill Bill: Vol. 2, Splash, Blade Runner"
nm0000437,Woody Harrelson,1961,\N,"Actor,  Producer,  Director","tt2356777,tt0117318,tt0110632,tt5027774","True Detective, The People vs. Larry Flynt, Natural Born Killers, Three Billboards Outside Ebbing, Missouri"
nm0000438,Ed Harris,1950,\N,"Actor,  Producer,  Director","tt0800308,tt0183659,tt0120382,tt0112384","Appaloosa, Pollock, The Truman Show, Apollo 13"
nm0000439,Neil Patrick Harris,1973,\N,"Actor,  Producer,  Writer","tt4834206,tt0460649,tt2267998,tt0120201","A Series of Unfortunate Events, How I Met Your Mother, Gone Girl, Starship Troopers"
nm0000443,Goldie Hawn,1945,\N,"Actress,  Producer,  Director","tt0081375,tt0093693,tt0116313,tt0064117","Private Benjamin, Overboard, The First Wives Club, Cactus Flower"
nm0000450,Philip Seymour Hoffman,1967,2014,"Actor,  Producer,  Director","tt1560747,tt0379725,tt0292963,tt0472062","The Master, Capote, Before the Devil Knows You're Dead, Charlie Wilson's War"
nm0000452,Lauren Holly,1963,\N,"Actress,  Producer,  Writer","tt0109686,tt0103512,tt0106770,tt0207201","Dumb and Dumber, Picket Fences, Dragon: The Bruce Lee Story, What Women Want"
nm0000456,Holly Hunter,1958,\N,"Actress,  Producer,  Miscellaneous","tt0092699,tt0328538,tt0107822,tt3606756","Broadcast News, Thirteen, The Piano, Incredibles 2"
nm0000459,Timothy Hutton,1960,\N,"Actor,  Producer,  Director","tt0081283,tt1103987,tt0115639,tt0343737","Ordinary People, Leverage, Beautiful Girls, The Good Shepherd"
nm0000467,Don Johnson,1949,\N,"Actor,  Producer,  Director","tt0086759,tt1853728,tt0072730,tt8946378","Miami Vice, Django Unchained, A Boy and His Dog, Knives Out"
nm0000473,Diane Keaton,1946,\N,"Actress,  Producer,  Director","tt0075686,tt0337741,tt0356680,tt0082979","Annie Hall, Something's Gotta Give, The Family Stone, Reds"
nm0000493,Jack Lemmon,1925,2001,"Actor,  Producer,  Director","tt0053604,tt0104348,tt0053291,tt0107050","The Apartment, Glengarry Glen Ross, Some Like It Hot, Grumpy Old Men"
nm0000496,Juliette Lewis,1973,\N,"Actress,  Director,  Producer","tt0101540,tt1322269,tt0110632,tt0116367","Cape Fear, August: Osage County, Natural Born Killers, From Dusk Till Dawn"
nm0000507,Rob Lowe,1964,\N,"Actor,  Producer,  Writer","tt0090060,tt0086066,tt0105793,tt1291580","St. Elmo's Fire, The Outsiders, Wayne's World, Behind the Candelabra"
nm0000532,Malcolm McDowell,1943,\N,"Actor,  Producer,  Writer","tt0066921,tt0111280,tt0080025,tt0373883","A Clockwork Orange, Star Trek: Generations, Time After Time, Halloween"
nm0000537,Steve McQueen,1930,1980,"Actor,  Producer,  Stunts","tt0057115,tt0063688,tt0070511,tt0062765","The Great Escape, The Thomas Crown Affair, Papillon, Bullitt"
nm0000546,Matthew Modine,1959,\N,"Actor,  Producer,  Director","tt0093058,tt0112760,tt1345836,tt0108122","Full Metal Jacket, Cutthroat Island, The Dark Knight Rises, Short Cuts"
nm0000549,Roger Moore,1927,2017,"Actor,  Miscellaneous,  Producer","tt0079574,tt0076752,tt0082398,tt0086034","Moonraker, The Spy Who Loved Me, For Your Eyes Only, Octopussy"
nm0000552,Eddie Murphy,1961,\N,"Actor,  Writer,  Producer","tt0117218,tt0086960,tt0443489,tt0094898","The Nutty Professor, Beverly Hills Cop, Dreamgirls, Coming to America"
nm0000553,Liam Neeson,1952,\N,"Actor,  Producer,  Soundtrack","tt0362269,tt0108052,tt1601913,tt0429493","Kinsey, Schindler's List, The Grey, The A-Team"
nm0000554,Sam Neill,1947,\N,"Actor,  Producer,  Director","tt0107290,tt4698684,tt0104850,tt0163025","Jurassic Park, Hunt for the Wilderpeople, Memoirs of an Invisible Man, Jurassic Park III"
nm0000559,Leonard Nimoy,1931,2015,"Actor,  Producer,  Director","tt0092007,tt0102975,tt0796366,tt0088170","Star Trek IV: The Voyage Home, Star Trek VI: The Undiscovered Country, Star Trek, Star Trek III: The Search for Spock"
nm0000560,Nick Nolte,1941,\N,"Actor,  Producer,  Soundtrack","tt1291584,tt0118564,tt0102713,tt0120863","Warrior, Affliction, The Prince of Tides, The Thin Red Line"
nm0000562,Jeremy Northam,1961,\N,"Actor,  Soundtrack,  Archive Footage","tt0280707,tt0284978,tt0116191,tt0162360","Gosford Park, Cypher, Emma, Happy, Texas"
nm0000563,Chris O'Donnell,1970,\N,"Actor,  Producer,  Director","tt0118688,tt0105323,tt0108333,tt0190865","Batman & Robin, Scent of a Woman, The Three Musketeers, Vertical Limit"
nm0000571,Mary-Louise Parker,1964,\N,"Actress,  Miscellaneous,  Soundtrack","tt1245526,tt0439100,tt0318997,tt0790736","RED, Weeds, Angels in America, R.I.P.D."
nm0000573,Dolly Parton,1946,\N,"Music Artist,  Music Department,  Producer","tt0162822,tt0092342,tt0073984,tt0080319","The Porter Wagoner Show, Dolly, Dolly, 9 to 5"
nm0000576,Sean Penn,1960,\N,"Actor,  Producer,  Director","tt0327056,tt0315733,tt1013753,tt0112818","Mystic River, 21 Grams, Milk, Dead Man Walking"
nm0000598,Dennis Quaid,1954,\N,"Actor,  Producer,  Music Department","tt0297884,tt0319262,tt0186151,tt0093260","Far from Heaven, The Day After Tomorrow, Frequency, Innerspace"
nm0000602,Robert Redford,1936,\N,"Producer,  Actor,  Director","tt0087781,tt0081283,tt0064115,tt0074119","The Natural, Ordinary People, Butch Cassidy and the Sundance Kid, All the President's Men"
nm0000609,Ving Rhames,1959,\N,"Actor,  Producer,  Writer","tt0110912,tt0163988,tt0120755,tt2381249","Pulp Fiction, Bringing Out the Dead, Mission: Impossible II, Mission: Impossible - Rogue Nation"
nm0000617,Tanya Roberts,1949,2021,"Actress,  Producer,  Archive Footage","tt0090264,tt0088103,tt0165598,tt0083630","A View to a Kill, Sheena: Queen of the Jungle, That '70s Show, The Beastmaster"
nm0000638,William Shatner,1931,\N,"Actor,  Producer,  Writer","tt0098382,tt0084726,tt0092007,tt0088170","Star Trek V: The Final Frontier, Star Trek II: The Wrath of Khan, Star Trek IV: The Voyage Home, Star Trek III: The Search for Spock"
nm0000641,Gary Sinise,1955,\N,"Actor,  Producer,  Director","tt0109830,tt0105046,tt0112384,tt0117438","Forrest Gump, Of Mice and Men, Apollo 13, Ransom"
nm0000648,Wesley Snipes,1962,\N,"Actor,  Producer,  Stunts","tt0120611,tt0102526,tt0106697,tt0105812","Blade, New Jack City, Demolition Man, White Men Can't Jump"
nm0000651,Sissy Spacek,1949,\N,"Actress,  Art Department,  Director","tt0247425,tt0074285,tt0080549,tt1454029","In the Bedroom, Carrie, Coal Miner's Daughter, The Help"
nm0000659,Barbra Streisand,1942,\N,"Music Artist,  Actress,  Producer","tt0086619,tt0062994,tt0117057,tt0070903","Yentl, Funny Girl, The Mirror Has Two Faces, The Way We Were"
nm0000661,Donald Sutherland,1935,2024,"Actor,  Producer,  Writer","tt1951264,tt0414387,tt0067309,tt0066026","The Hunger Games: Catching Fire, Pride & Prejudice, Klute, M*A*S*H"
nm0000668,Emma Thompson,1959,\N,"Actress,  Writer,  Producer","tt0114388,tt2140373,tt0107943,tt0314331","Sense and Sensibility, Saving Mr. Banks, The Remains of the Day, Love Actually"
nm0000671,Billy Bob Thornton,1955,\N,"Actor,  Writer,  Director","tt0117666,tt0120324,tt0243133,tt0285742","Sling Blade, A Simple Plan, The Man Who Wasn't There, Monster's Ball"
nm0000677,Robin Tunney,1972,\N,"Actress,  Soundtrack,  Archive Footage","tt0115963,tt0190865,tt0112950,tt0146675","The Craft, Vertical Limit, Empire Records, End of Days"
nm0000679,Deborah Kara Unger,1966,\N,"Actress,  Producer,  Miscellaneous","tt0119174,tt1441912,tt0384537,tt0328538","The Game, The Way, Silent Hill, Thirteen"
nm0000681,Vince Vaughn,1970,\N,"Producer,  Actor,  Writer","tt0452594,tt0396269,tt1078940,tt5657856","The Break-Up, Wedding Crashers, Couples Retreat, Brawl in Cell Block 99"
nm0000686,Christopher Walken,1943,\N,"Actor,  Producer,  Miscellaneous","tt0077416,tt0264464,tt0114194,tt0427327","The Deer Hunter, Catch Me If You Can, The Prophecy, Hairspray"
nm0000688,Sela Ward,1956,\N,"Actress,  Producer,  Archive Footage","tt1628841,tt2267998,tt0106977,tt0338096","Independence Day: Resurgence, Gone Girl, The Fugitive, Dirty Dancing: Havana Nights"
nm0000698,Gene Wilder,1933,2016,"Actor,  Writer,  Director","tt0067992,tt0072431,tt0063462,tt0075223","Willy Wonka & the Chocolate Factory, Young Frankenstein, The Producers, Silver Streak"
